,All (40),Predictive (20.0),prognostic (20.0)
Policyaware,0.652+/-0.119,0.465+/-0.085,0.839+/-0.154
Balancing,0.694+/-0.115,0.556+/-0.083,0.832+/-0.148
Baseline,0.663+/-0.120,0.490+/-0.087,0.837+/-0.153
Propensity,0.671+/-0.118,0.495+/-0.082,0.847+/-0.155
New,0.648+/-0.117,0.465+/-0.085,0.832+/-0.148
